,Company,Product,Total Company response to consumer Complaints
111,HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,3
112,HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,0
113,HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,13
114,HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,8
115,HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,0
116,HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,0
117,HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,3
118,HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,0
119,HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,0
120,HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,0
121,HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,0
122,HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,0
123,HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,0
124,HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,0
125,HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,0
126,HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,25
127,HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,0
128,HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,5
129,HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,2
130,HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,0
131,HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,1
132,HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,0
133,HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,0
134,HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,0
135,HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,3
136,HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,0
137,HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,1
138,HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,0
139,HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,0
140,HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,0
141,HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,0
142,HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,0
143,HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,0
144,HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,2
145,HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,0
146,HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,0
147,HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,0
148,HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,0
149,HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,0
150,HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,0
151,HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,0
152,HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,0
153,Resurgent Capital Services L.P.,Checking or savings account,4
154,Resurgent Capital Services L.P.,Checking or savings account,0
155,Resurgent Capital Services L.P.,Checking or savings account,0
156,Resurgent Capital Services L.P.,Checking or savings account,0
157,Resurgent Capital Services L.P.,Checking or savings account,0
158,Resurgent Capital Services L.P.,Checking or savings account,0
159,Resurgent Capital Services L.P.,Checking or savings account,0
160,Resurgent Capital Services L.P.,Checking or savings account,0
161,Resurgent Capital Services L.P.,Checking or savings account,0
162,Resurgent Capital Services L.P.,Credit card or prepaid card,98
163,Resurgent Capital Services L.P.,Credit card or prepaid card,0
164,Resurgent Capital Services L.P.,Credit card or prepaid card,0
165,Resurgent Capital Services L.P.,Credit card or prepaid card,8
166,Resurgent Capital Services L.P.,Credit card or prepaid card,0
167,Resurgent Capital Services L.P.,Credit card or prepaid card,0
168,Resurgent Capital Services L.P.,Credit card or prepaid card,0
169,Resurgent Capital Services L.P.,Credit card or prepaid card,0
170,Resurgent Capital Services L.P.,Credit card or prepaid card,0
171,Resurgent Capital Services L.P.,"Credit reporting, credit repair services, or other personal consumer reports",1901
