Company,Product,Total Complaints
"SELECT PORTFOLIO SERVICING, INC.",Bank account or service,0
"SELECT PORTFOLIO SERVICING, INC.",Bank account or service,0
"SELECT PORTFOLIO SERVICING, INC.",Bank account or service,1
"SELECT PORTFOLIO SERVICING, INC.",Bank account or service,0
"SELECT PORTFOLIO SERVICING, INC.",Credit card,0
"SELECT PORTFOLIO SERVICING, INC.",Credit card,0
"SELECT PORTFOLIO SERVICING, INC.",Credit card,0
"SELECT PORTFOLIO SERVICING, INC.",Credit card,0
"SELECT PORTFOLIO SERVICING, INC.",Credit reporting,0
"SELECT PORTFOLIO SERVICING, INC.",Credit reporting,1
"SELECT PORTFOLIO SERVICING, INC.",Credit reporting,1
"SELECT PORTFOLIO SERVICING, INC.",Credit reporting,1
"SELECT PORTFOLIO SERVICING, INC.",Consumer Loan,0
"SELECT PORTFOLIO SERVICING, INC.",Consumer Loan,0
"SELECT PORTFOLIO SERVICING, INC.",Consumer Loan,0
"SELECT PORTFOLIO SERVICING, INC.",Consumer Loan,0
"SELECT PORTFOLIO SERVICING, INC.",Prepaid card,0
"SELECT PORTFOLIO SERVICING, INC.",Prepaid card,0
"SELECT PORTFOLIO SERVICING, INC.",Prepaid card,0
"SELECT PORTFOLIO SERVICING, INC.",Prepaid card,0
"SELECT PORTFOLIO SERVICING, INC.",Money transfers,0
"SELECT PORTFOLIO SERVICING, INC.",Money transfers,0
"SELECT PORTFOLIO SERVICING, INC.",Money transfers,0
"SELECT PORTFOLIO SERVICING, INC.",Money transfers,0
"SELECT PORTFOLIO SERVICING, INC.",Other financial service,0
"SELECT PORTFOLIO SERVICING, INC.",Other financial service,0
"SELECT PORTFOLIO SERVICING, INC.",Other financial service,0
"SELECT PORTFOLIO SERVICING, INC.",Other financial service,0
"SELECT PORTFOLIO SERVICING, INC.",Payday loan,0
"SELECT PORTFOLIO SERVICING, INC.",Payday loan,0
"SELECT PORTFOLIO SERVICING, INC.",Payday loan,0
"SELECT PORTFOLIO SERVICING, INC.",Payday loan,0
BARCLAYS BANK DELAWARE,Checking or savings account,0
BARCLAYS BANK DELAWARE,Checking or savings account,7
BARCLAYS BANK DELAWARE,Checking or savings account,13
BARCLAYS BANK DELAWARE,Checking or savings account,1
BARCLAYS BANK DELAWARE,Credit card or prepaid card,0
BARCLAYS BANK DELAWARE,Credit card or prepaid card,388
BARCLAYS BANK DELAWARE,Credit card or prepaid card,485
BARCLAYS BANK DELAWARE,Credit card or prepaid card,121
BARCLAYS BANK DELAWARE,"Credit reporting, credit repair services, or other personal consumer reports",0
BARCLAYS BANK DELAWARE,"Credit reporting, credit repair services, or other personal consumer reports",146
BARCLAYS BANK DELAWARE,"Credit reporting, credit repair services, or other personal consumer reports",46
BARCLAYS BANK DELAWARE,"Credit reporting, credit repair services, or other personal consumer reports",16
BARCLAYS BANK DELAWARE,Debt collection,0
BARCLAYS BANK DELAWARE,Debt collection,55
BARCLAYS BANK DELAWARE,Debt collection,52
BARCLAYS BANK DELAWARE,Debt collection,14
BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",0
BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",0
BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",5
BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",2
BARCLAYS BANK DELAWARE,Student loan,0
BARCLAYS BANK DELAWARE,Student loan,0
BARCLAYS BANK DELAWARE,Student loan,0
BARCLAYS BANK DELAWARE,Student loan,0
BARCLAYS BANK DELAWARE,Vehicle loan or lease,0
BARCLAYS BANK DELAWARE,Vehicle loan or lease,0
BARCLAYS BANK DELAWARE,Vehicle loan or lease,0
BARCLAYS BANK DELAWARE,Vehicle loan or lease,0
BARCLAYS BANK DELAWARE,Mortgage,0
BARCLAYS BANK DELAWARE,Mortgage,1
BARCLAYS BANK DELAWARE,Mortgage,4
BARCLAYS BANK DELAWARE,Mortgage,2
BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",0
BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",9
BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",8
BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",5
BARCLAYS BANK DELAWARE,Bank account or service,0
BARCLAYS BANK DELAWARE,Bank account or service,3
BARCLAYS BANK DELAWARE,Bank account or service,11
BARCLAYS BANK DELAWARE,Bank account or service,5
BARCLAYS BANK DELAWARE,Credit card,0
BARCLAYS BANK DELAWARE,Credit card,136
BARCLAYS BANK DELAWARE,Credit card,375
BARCLAYS BANK DELAWARE,Credit card,33
BARCLAYS BANK DELAWARE,Credit reporting,0
BARCLAYS BANK DELAWARE,Credit reporting,2
BARCLAYS BANK DELAWARE,Credit reporting,12
BARCLAYS BANK DELAWARE,Credit reporting,1
BARCLAYS BANK DELAWARE,Consumer Loan,0
BARCLAYS BANK DELAWARE,Consumer Loan,1
BARCLAYS BANK DELAWARE,Consumer Loan,4
BARCLAYS BANK DELAWARE,Consumer Loan,4
BARCLAYS BANK DELAWARE,Prepaid card,0
BARCLAYS BANK DELAWARE,Prepaid card,0
BARCLAYS BANK DELAWARE,Prepaid card,0
BARCLAYS BANK DELAWARE,Prepaid card,0
BARCLAYS BANK DELAWARE,Money transfers,0
