Company,Product,Total Complaints
TD BANK US HOLDING COMPANY,"Credit reporting, credit repair services, or other personal consumer reports",2471
TD BANK US HOLDING COMPANY,Debt collection,1305
TD BANK US HOLDING COMPANY,"Money transfer, virtual currency, or money service",385
TD BANK US HOLDING COMPANY,Student loan,1
TD BANK US HOLDING COMPANY,Vehicle loan or lease,421
TD BANK US HOLDING COMPANY,Mortgage,1406
TD BANK US HOLDING COMPANY,"Payday loan, title loan, or personal loan",189
TD BANK US HOLDING COMPANY,Bank account or service,3060
TD BANK US HOLDING COMPANY,Credit card,1303
TD BANK US HOLDING COMPANY,Credit reporting,41
TD BANK US HOLDING COMPANY,Consumer Loan,433
TD BANK US HOLDING COMPANY,Prepaid card,13
TD BANK US HOLDING COMPANY,Money transfers,36
TD BANK US HOLDING COMPANY,Other financial service,11
TD BANK US HOLDING COMPANY,Payday loan,1
ENCORE CAPITAL GROUP INC.,Checking or savings account,8
ENCORE CAPITAL GROUP INC.,Credit card or prepaid card,172
ENCORE CAPITAL GROUP INC.,"Credit reporting, credit repair services, or other personal consumer reports",1821
ENCORE CAPITAL GROUP INC.,Debt collection,16148
ENCORE CAPITAL GROUP INC.,"Money transfer, virtual currency, or money service",3
ENCORE CAPITAL GROUP INC.,Student loan,2
ENCORE CAPITAL GROUP INC.,Vehicle loan or lease,4
ENCORE CAPITAL GROUP INC.,Mortgage,23
ENCORE CAPITAL GROUP INC.,"Payday loan, title loan, or personal loan",6
ENCORE CAPITAL GROUP INC.,Bank account or service,18
ENCORE CAPITAL GROUP INC.,Credit card,178
ENCORE CAPITAL GROUP INC.,Credit reporting,107
ENCORE CAPITAL GROUP INC.,Consumer Loan,80
ENCORE CAPITAL GROUP INC.,Prepaid card,2
ENCORE CAPITAL GROUP INC.,Money transfers,0
ENCORE CAPITAL GROUP INC.,Other financial service,3
ENCORE CAPITAL GROUP INC.,Payday loan,5
DISCOVER BANK,Checking or savings account,645
DISCOVER BANK,Credit card or prepaid card,5930
DISCOVER BANK,"Credit reporting, credit repair services, or other personal consumer reports",3537
DISCOVER BANK,Debt collection,2382
DISCOVER BANK,"Money transfer, virtual currency, or money service",89
DISCOVER BANK,Student loan,1352
DISCOVER BANK,Vehicle loan or lease,2
DISCOVER BANK,Mortgage,156
DISCOVER BANK,"Payday loan, title loan, or personal loan",141
DISCOVER BANK,Bank account or service,487
DISCOVER BANK,Credit card,4264
DISCOVER BANK,Credit reporting,69
DISCOVER BANK,Consumer Loan,123
DISCOVER BANK,Prepaid card,2
DISCOVER BANK,Money transfers,10
DISCOVER BANK,Other financial service,2
DISCOVER BANK,Payday loan,0
PNC Bank N.A.,Checking or savings account,5489
PNC Bank N.A.,Credit card or prepaid card,759
PNC Bank N.A.,"Credit reporting, credit repair services, or other personal consumer reports",663
PNC Bank N.A.,Debt collection,440
PNC Bank N.A.,"Money transfer, virtual currency, or money service",1637
PNC Bank N.A.,Student loan,104
PNC Bank N.A.,Vehicle loan or lease,351
PNC Bank N.A.,Mortgage,5971
PNC Bank N.A.,"Payday loan, title loan, or personal loan",325
PNC Bank N.A.,Bank account or service,3490
PNC Bank N.A.,Credit card,494
PNC Bank N.A.,Credit reporting,29
PNC Bank N.A.,Consumer Loan,335
PNC Bank N.A.,Prepaid card,13
